context,prefix,namespace,status
prefixcc,scovo,http://purl.org/NET/scovo#,canonical
prefixcc,tgn,http://vocab.getty.edu/tgn/,canonical
prefixcc,test,http://test.example.com/,canonical
prefixcc,ulan,http://vocab.getty.edu/ulan/,canonical
prefixcc,sioct,http://rdfs.org/sioc/types#,canonical
prefixcc,room,http://vocab.deri.ie/rooms#,canonical
prefixcc,siocserv,http://rdfs.org/sioc/services#,canonical
prefixcc,ldp,http://www.w3.org/ns/ldp#,canonical
prefixcc,dbc,http://dbpedia.org/resource/Category:,canonical
prefixcc,leaks,https://cuzin.com/,canonical
prefixcc,geoes,http://geo.linkeddata.es/resource/,canonical
prefixcc,wdt,http://www.wikidata.org/prop/direct/,canonical
prefixcc,ssn,http://www.w3.org/ns/ssn/,canonical
prefixcc,drugbank,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/,canonical
prefixcc,coref,http://www.rkbexplorer.com/ontologies/coref#,canonical
prefixcc,ptr,http://www.w3.org/2009/pointers#,canonical
prefixcc,lv,http://purl.org/lobid/lv#,canonical
prefixcc,pmlj,http://inference-web.org/2.0/pml-justification.owl#,canonical
prefixcc,acc,http://purl.org/NET/acc#,canonical
prefixcc,bif,http://www.openlinksw.com/schemas/bif#,canonical
prefixcc,georss,http://www.georss.org/georss/,canonical
prefixcc,dbprop,http://dbpedia.org/property/,namespace_alias
prefixcc,doc,http://www.w3.org/2000/10/swap/pim/doc#,canonical
prefixcc,movie,http://data.linkedmdb.org/resource/movie/,canonical
prefixcc,nsogi,http://prefix.cc/nsogi:,canonical
prefixcc,ceo,https://linkeddata.cultureelerfgoed.nl/def/ceo#,canonical
prefixcc,music,http://musicontology.com/,canonical
prefixcc,lexinfo,http://www.lexinfo.net/ontology/3.0/lexinfo#,canonical
prefixcc,dce,http://purl.org/dc/elements/1.1/,canonical
prefixcc,am,http://vocab.deri.ie/am#,canonical
prefixcc,rsa,http://www.w3.org/ns/auth/rsa#,canonical
prefixcc,whois,http://www.kanzaki.com/ns/whois#,canonical
prefixcc,cco,http://www.ontologyrepository.com/CommonCoreOntologies/,canonical
prefixcc,itsrdf,http://www.w3.org/2005/11/its/rdf#,canonical
prefixcc,nmo,http://www.semanticdesktop.org/ontologies/2007/03/22/nmo#,canonical
prefixcc,rec,http://purl.org/ontology/rec/core#,canonical
prefixcc,gndo,http://d-nb.info/standards/elementset/gnd#,canonical
prefixcc,java,http://www.w3.org/2007/uwa/context/java.owl#,canonical
prefixcc,xml,http://www.w3.org/XML/1998/namespace/,canonical
prefixcc,wp,http://vocabularies.wikipathways.org/wp#,canonical
prefixcc,space,http://purl.org/net/schemas/space/,canonical
prefixcc,ro,http://purl.org/obo/owl/ro#,canonical
prefixcc,pat,http://purl.org/hpi/patchr#,canonical
prefixcc,dblp,http://dblp.uni-trier.de/rdf/schema-2015-01-26#,canonical
